회차,문항,배점,단원,정답,검수상태,교정메모
10,1,10,전기력,"F′ = (1/8)F이며, 접촉 후에는 두 구가 모두 +1 C이므로 서로 밀어낸다.",verified,
10,2,20,정전기,"A: 중성, B: 양전하, C: 중성, D: 양전하",verified,
10,3,20,전기력,(1) P가 받는 합력은 왼쪽이다. (2) 전기력이 0이 되는 곳은 A의 왼쪽이다.,verified,
10,4,15,정전기,"과정 1: 음전하, 과정 2: 중성, 과정 3: 양전하",verified,
10,5,35,전기력,(1) 오른쪽 위 대각선 방향 (2) 2.7×10¹⁰ N (3) -3 C로 바꾸면 크기는 같고 왼쪽 아래 대각선 방향,verified,
11,1,10,전기장과 전위,0 N/C,verified,
11,2,20,전기장과 전위,(1) B는 양전하 (2) |B|>|A| (3) r에서 전기장은 +x 방향,verified,
11,3,10,전기장과 전위,"전기장의 세기는 A가 더 크고, 전위도 A가 더 높다.",verified,
11,4,10,전기장과 전위,0 V,verified,
11,5,15,전기장과 전위,"(1) A (2) q>0이면 오른쪽, q<0이면 왼쪽 (3) E_A=E_B=E_C=E_D",corrected,"원문 (2)에서 q의 부호가 제시되지 않았다. 양전하 q를 뜻하는 것으로 보완하며, 음전하이면 운동 방향이 반대임을 함께 명시했다."
11,6,15,전기장과 전위,"A: 200 N/C, 오른쪽; B: 50 N/C, 오른쪽; V_A-V_B=300 V",verified,
11,7,10,전류,20 A,verified,
11,8,10,전류,"10 A, (+)극판에서 (-)극판 방향",verified,
12,1,10,전기 회로,"I₁=6 A, I₂=3 A, V₁=6 V, V₂=6 V",verified,
12,2,20,전기 회로,"합성저항 1.5 Ω, I₁:I₂:I₃=2:1:1",verified,
12,3,20,전기 회로,합성저항 50 Ω. B가 A보다 10 V 높다(V_B-V_A=10 V; V_A-V_B=-10 V).,corrected,원문 ΔV_AB의 부호 정의가 명시되지 않았다. B가 A보다 10 V 높다는 물리적 관계를 우선 제시하고 두 관례의 부호를 함께 명시했다.
12,4,10,전기 회로,R′=8ρL/S=8R,verified,
12,5,10,전기 회로,X가 Y보다 4 V 높다(V_X-V_Y=4 V).,verified,
12,6,10,전기 회로,"A₁의 전류는 증가하고, A₂의 전류는 변하지 않는다.",verified,
12,7,20,전기 회로,"20 Ω 저항 전류 3 A, 소비 전력 180 W",verified,
13,1,5,전력과 송전,"P₀=I₀V₀, ΔP_loss=I²R=(P₀/V₀)²R",corrected,원문은 P₀를 “에너지”라고 표현했지만 식과 단위상 전력이다. “공급 전력”으로 교정했다.
13,2,10,전력과 송전,"저항 100 Ω, 사용 전기에너지 800 Wh",verified,
13,3,10,전기 회로,"A 밝아짐, B 밝아짐, C 꺼짐",verified,
13,4,5,전기 회로,D > C > B > A,verified,
13,5,5,자기장,I=50/π A≈15.9 A,corrected,원문에 μ₀ 값이 제시되지 않아 표준값 μ₀=4π×10⁻⁷ T·m/A를 사용한다고 명시했다.
13,6,5,자기장,B=4π×10⁻³ T≈1.26×10⁻² T,corrected,원문에 μ₀ 값이 제시되지 않아 표준값을 사용한다고 명시했다.
13,7,5,자기장,그림만으로는 결정할 수 없다. 권선이 앞·뒤에서 어떻게 연결되는지(감긴 방향)가 표시되어야 한다.,needs-review,권선의 감긴 방향과 앞·뒤 교차 표시가 없어 A/B 극을 유일하게 결정할 수 없다. 교사 확인 전 자동 정답 공개를 보류한다.
13,8,10,자기장,B_P:B_Q:B_R=6:3:14,verified,
13,9,5,자기장,5B₀,verified,
13,10,5,정전기,"A(금속판): 양전하, B(금속박): 중성",verified,
13,11,10,전기장과 전위,"B는 양전하, |A|>|B|, 원점의 전기장은 +x 방향",verified,
13,12,10,전기장과 전위,(1) C 구간 (2) -1 C의 오른쪽 1.5 m,verified,
13,13,5,전기 회로,V_AB=100 V,verified,
13,14,5,전기 회로,9배,verified,
13,15,5,전기 회로,2 A,verified,
14,1,10,전자기력,D 방향,verified,
14,2,10,전자기 유도,1 V,verified,
14,3,10,전자기 유도,0.48 V,verified,
14,4,15,전자기 유도,"유도기전력 6 V, 30 Ω 연결 시 전류 0.2 A",corrected,원문은 “자기장이 Wb로 변한다”고 썼으나 Wb는 자속 단위이다. “한 회를 지나는 자속이 매초 4.0×10⁻³ Wb 변한다”로 교정했다.
14,5,15,전자기 유도,"유도전류 방향: 시계방향, 크기: 10 A, 유도기전력: 2 V",verified,
14,6,10,전자기 유도,"예: 자석을 더 빠르게 움직인다, 더 강한 자석을 사용한다. 또한 코일 감은 수·단면적을 늘리거나 철심을 넣어도 된다.",verified,
14,7,10,파동,"f=1.25 Hz, T=0.8 s, λ=1 m, v=1.25 m/s, A=0.5 m",verified,
14,8,10,파동,(1) x=0.5 m (2) x=0.75 m,verified,
14,9,10,파동,+x로 3λ/4 이동한 그래프는 원래 그래프를 오른쪽으로 3λ/4(또는 왼쪽으로 λ/4) 평행이동한다. -x로 3λ/4 이동한 그래프는 왼쪽으로 3λ/4(또는 오른쪽으로 λ/4) 평행이동한다.,verified,
