ExamId,문항,유형,입력모드,배점,단원,개념,정답,검수상태,교정메모,루브릭합
physics1-basic-total-mechanics,1,objective,binary,4,운동의 기술,시간기록계와 평균 가속도,⑤,corrected,원문에서 A가 첫 점이면 운동 방향은 오른쪽이다. ①을 “오른쪽”으로 교정해야 객관식 정답이 하나(⑤)가 된다. 공식 해설의 0.2 m/s² 표기는 2 m/s²로 교정하였다.,4
physics1-basic-total-mechanics,2,objective,binary,4,열역학,P-V 그래프와 상태함수,②,verified,,4
physics1-basic-total-mechanics,3,objective,binary,4,운동의 기술,속도-시간 그래프 해석,③,verified,,4
physics1-basic-total-mechanics,4,objective,binary,4,운동의 기술,속력-시간 그래프와 이동거리,⑤,verified,,4
physics1-basic-total-mechanics,5,objective,binary,4,운동의 기술,등가속도 운동,①,verified,,4
physics1-basic-total-mechanics,6,objective,binary,4,힘과 운동,접촉력과 알짜힘,③,verified,,4
physics1-basic-total-mechanics,7,objective,binary,4,힘과 운동,마찰이 있는 연결 물체,②,corrected,동마찰력이 작용하며 m이 아래로 움직이는 상황을 보장하려면 m>μM 조건이 필요하다.,4
physics1-basic-total-mechanics,8,objective,binary,4,힘과 운동,애트우드 장치와 용수철저울,③,corrected,"문제의 A, B는 물체 이름과 저울 눈금 기호로 중복 사용된다. 눈금의 단위는 kg이 아니라 N으로 명시하는 것이 정확하다.",4
physics1-basic-total-mechanics,9,objective,binary,4,힘과 운동,힘의 평형과 성분,①,verified,,4
physics1-basic-total-mechanics,10,objective,binary,4,운동량,분열과 운동량 보존,③,verified,,4
physics1-basic-total-mechanics,11,objective,binary,4,진동과 에너지,용수철 직렬·병렬,④,verified,,4
physics1-basic-total-mechanics,12,objective,binary,4,역학적 에너지,마찰이 한 일,④,verified,,4
physics1-basic-total-mechanics,13,objective,binary,4,진동과 에너지,단진동 에너지,④,verified,,4
physics1-basic-total-mechanics,14,objective,binary,4,일과 에너지,일률,⑤,verified,,4
physics1-basic-total-mechanics,15,objective,binary,4,힘과 운동,연결 물체의 가속도,③,verified,,4
physics1-basic-total-mechanics,16,objective,binary,4,일과 에너지,힘·마찰·수직항력의 일,②,verified,,4
physics1-basic-total-mechanics,17,objective,binary,4,역학적 에너지,용수철 에너지 보존,③,verified,,4
physics1-basic-total-mechanics,18,objective,binary,4,운동량,충격량과 충격력,②,verified,,4
physics1-basic-total-mechanics,19,objective,binary,4,열역학,단열 팽창,②,corrected,공식 해설의 “내부 에너지는 온도가 증가하므로 증가”는 단열 팽창과 모순된다. 내부 에너지와 온도는 감소한다.,4
physics1-basic-total-mechanics,20,objective,binary,4,역학적 에너지,롤러코스터 에너지 보존,②,verified,,4
physics1-basic-total-mechanics,21,subjective,points,4,역학적 에너지,두 지점을 이용한 에너지 보존,h_C=7h/3,verified,,4
physics1-basic-total-mechanics,22,subjective,points,4,힘과 운동,세 물체 연결계,"a=(m₃-m₁)g/(m₁+m₂+m₃), T₁=m₁(m₂+2m₃)g/(m₁+m₂+m₃)",verified,,4
physics1-basic-total-mechanics,23,subjective,points,4,운동량,충돌·반발계수·에너지 손실,"v_B=1 m/s, e=5/16, Q=154 J",verified,,4
physics1-basic-total-mechanics,24,subjective,points,4,힘과 운동,카트-추 연결과 가속도 변화,k=2mM/(M-m) (M>m),corrected,가속도를 정확히 두 배로 만들 수 있는 양의 추 질량을 위해 M>m 조건을 명시해야 한다.,4
physics1-basic-total-mechanics,25,subjective,points,4,힘과 운동,사람-판자 계의 수직항력,"N₁=Mg-F, N=(M+m)g-2F",verified,,4
physics1-basic-total-electromagnetism,1,objective,binary,4,전류와 전하,전하 이동과 전류 방향,③,verified,,4
physics1-basic-total-electromagnetism,2,objective,binary,4,자기장,전류가 받는 자기력과 장의 합성,④,verified,,4
physics1-basic-total-electromagnetism,3,objective,binary,4,빛,프리즘 분산,①,verified,,4
physics1-basic-total-electromagnetism,4,objective,binary,4,전기장과 전위,점전하의 전위,⑤,corrected,보기 ㄴ의 “전위 세기”는 물리적으로 “전위”로 교정하였다.,4
physics1-basic-total-electromagnetism,5,objective,binary,4,전기 회로,저항과 비저항,④,corrected,공식 해설의 “양성자의 진동”은 “금속 격자 이온의 열진동”으로 교정하였다.,4
